"item","car1","car2","car3","car4","car5","car6","car7","car8","car9","car10","car11","car12","car13","car14","car15"
"08056","Toyota Camry 2023","Honda Accord 2022","Ford Fusion 2021","BMW 330i 2020","","","","","","","","","","",""
"12345","Nissan Altima 2021","Hyundai Elantra 2022","Tesla Model 3 2023","","","","","","","","","","","",""
"99999","Chevrolet Malibu 2020","","","","","","","","","","","","","",""
"07259","Toyota Corolla 2023 LE","Honda Civic 2022 LX","Hyundai Elantra 2023 SEL","Volkswagen Jetta 2022 S","Kia Forte 2023 LXS","Mazda 3 2021 2.5 S","Subaru Impreza 2022 Premium","Nissan Sentra 2022 SV","Chevrolet Cruze 2019 LT","Audi A3 2020 Premium","BMW 320i 2018 Base","Ford Focus 2018 SE","Lexus CT200h 2017 Base","Toyota Prius 2022 LE","Volkswagen Golf 2021 TSI"
"64561","Toyota Camry 2024 SE / XLE","Honda Accord 2022 EX-L","Tesla Model 3 2023 Base (RWD)","Nissan Altima 2023 SR / SL","Ford Fusion 2020 SE / SEL / Titanium","Lexus ES350 2021 Base / Luxury","Kia K5 2023 GT-Line","Hyundai Sonata 2023 SEL Plus","Volkswagen Passat 2022 Limited Edition","Chevrolet Malibu 2023 LT / 2LT","Volvo S60 2022 Momentum / Inscription","Buick Regal 2020 Preferred / Essence","Acura TLX 2020 Base","Mazda 6 2021 (Non-Standard Size)","Subaru Legacy 2022 Limited / Sport"
"78472","Toyota RAV4 2023 LE","Subaru Forester 2024 Base","Honda CR-V 2022 LX","Nissan Rogue 2023 S","Subaru Outback 2023 Base / Premium","Jeep Cherokee 2022 Latitude Lux","Hyundai Tucson 2023 SE / SEL","Kia Sportage 2023 LX","Chevrolet Equinox 2023 LS / LT","GMC Terrain 2022 SLE","Mitsubishi Outlander 2022 ES","Ford Bronco Sport 2023 Base / Big Bend","Dodge Journey 2020 SE Value / Crossroad","Lexus NX300 2021 Base","Chrysler Pacifica 2023 Touring / Touring L"
"08218","Toyota RAV4 2024 LE / XLE","Honda CR-V 2023 LX","Mazda CX-5 2023 2.5 S / Select / Preferred","Nissan Rogue 2022 S / SV","Chevrolet Equinox 2024 LS / LT","Ford Escape 2023 Base / Active / ST-Line","GMC Terrain 2023 SLE","Lexus NX250 2024 Base","Subaru Forester 2023 Premium","Dodge Journey 2020 SE Value / Crossroad","Jeep Cherokee 2021 Latitude / Latitude Plus","Toyota Sienna 2020 L / LE","Chrysler Voyager 2022 LX","Hyundai Tucson 2022 SE / SEL","Kia Sportage 2022 LX"
"87332","Honda CR-V 2024 EX / EX-L","Honda Odyssey 2023 EX / EX-L / Touring","Toyota Highlander 2022 L / LE / XLE","Lexus RX350 2022 Base","Acura RDX 2023 Base","Volvo XC60 2023 Core / Plus / Bright","Audi Q5 2023 Premium / Premium Plus","Kia Sorento 2023 LX / S / EX","Hyundai Santa Fe 2023 SE / SEL","Mazda CX-70 2025 Preferred","Chrysler Pacifica 2024 Select / Touring L","Ford Edge 2023 SE / SEL","Chevrolet Blazer 2023 2LT / 3LT","Volkswagen ID.4 2023 Standard / Pro","Land Rover Discovery Sport 2023 S / SE"
"98485","Toyota RAV4 2024 Limited / Adventure","Honda CR-V 2022 EX / EX-L / Touring","Subaru Forester 2023 Limited / Touring","Mazda CX-5 2024 Carbon Edition / Premium","Lexus NX350 2023 Base","Nissan Rogue 2023 SV / SL","Chevrolet Equinox 2023 Premier","Ford Escape 2022 SEL / Titanium","GMC Terrain 2024 SLT / Denali","Toyota Venza 2023 LE","Dodge Hornet 2024 GT","Buick Envision 2023 Preferred / Essence","Jeep Cherokee 2022 Limited","Chrysler 300 2022 Touring (AWD)","Mitsubishi Outlander 2023 SE / SEL"
"51954","Toyota Highlander 2023 L / LE / XLE","Honda Pilot 2022 EX-L / Special Edition / Touring","Ford Edge 2024 SE / SEL","Chevrolet Traverse 2023 LS / LT","Hyundai Palisade 2024 SE / SEL","Kia Telluride 2024 LX / S / EX","Honda Ridgeline 2023 Sport / RTL / RTL-E / Black Edition","Jeep Grand Cherokee 2022 Laredo / Limited","GMC Acadia 2023 SLE / SLT","Nissan Pathfinder 2024 S / SV","Volkswagen Atlas 2023 SE / SE with Technology","Ford Explorer 2022 Base / XLT","Mazda CX-9 2023 Sport / Touring","Subaru Ascent 2023 Base / Premium","Lincoln MKX 2018 Premiere"
